Page Name,Page category ,Link,Content,Post Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Total Non-Like,Love,Wow,Haha,Sad,Angry,Care,Positive,Neg2,Neg,Total Interactions,Overperforming Score,Message
Indozone.id,Portal Berita,https://www.facebook.com/Portal Berita/posts/680791972688234,UN 2020 ditiadakan,2020-03-24 01:56:30 EDT,Photo,1.18E+03,8.80E+01,6.05E+02,7.00E+00,5.00E+00,3.00E+00,4.00E+00,0.00E+00,0.00E+00,1.90E+01,3.70E-01,2.60E-01,1.60E-01,2.10E-01,0.00E+00,0.00E+00,3.70E-01,1.60E-01,6.30E-01,1.25E+03,5.14E+00,"Menteri Pendidikan dan Kebudayaan Republik Indonesia telah mengeluarkan surat edaran Nomor 1 Tahun 2021 tentang peniadaan ujian nasional dan ujian kesetaraan pelaksanaan ujian sekolah dalam masa darurat penyebaran corona virus disease (COVID-19). Surat itu ditandatangani oleh Mendikbud Nadiem Anwar Makarim pada 1 Februari 2021 di Jakarta. Dalam isi surat edaran itu disebutkan, berkenaan dengan penyebaran COVID-19 yang semakin meningkat, maka perlu dilakukan langkah responsif yang mengutamakan keselamatan dan kesehatan lahir dan batin peserta didik, pendidik, dan tenaga kependidikan. Dengan ditiadakannya UN dan ujian kesetaraan tahun 2021 sebagaimana dimaksud pada angka 1, maka UN dan ujian kesetaraan tidak menjadi syarat kelulusan atau seleksi masuk ke jenjang pendidikan yang lebih lebih tinggi. ""Sehubungan hal tersebut, bersamaan dengan itu Ujian Nasional dan ujian kesetaraan tahun 2021 ditiadakan,"" bunyi surat edaran tersebut. 1. Menyelesaikaan Program pembelajaran di masa pandemi COVID-19 yang dibuktikan dengan rapor tiap semester. 2. Memperoleh nilai sikap atau prilaku minimal baik. Baca selengkapnya di viva.co.id Sumber: @vivacoid ------------------ #NewsOne #UNDitiadakan #UN2021 #SyaratKelulusan #Mendikbud #NadiemMakarim"
Liputan6,Portal Berita,https://www.facebook.com/Portal Berita/posts/10159562415741435,UN 2021 ditiadakan,2021-02-04 03:20:07 EST,Photo,1.80E+03,1.08E+03,2.66E+02,1.90E+01,5.30E+01,2.66E+02,2.40E+01,1.50E+01,7.00E+00,3.84E+02,5.00E-02,1.40E-01,6.90E-01,6.00E-02,4.00E-02,2.00E-02,7.00E-02,7.30E-01,9.30E-01,1.20E+03,1.83E+01,"PGRI menilai, keputusan meniadakan UN 2021 merupakan keputusan tepat. Meski demikian, ada sejumlah catatan yang diberikan."
Liputan6,Portal Berita,https://www.facebook.com/Portal Berita/posts/10158611452591435,UN 2020 ditiadakan,2020-03-27 01:15:50 EDT,Photo,3.60E+02,2.20E+01,2.00E+00,2.00E+00,3.00E+00,0.00E+00,6.00E+00,0.00E+00,0.00E+00,1.10E+01,1.80E-01,2.70E-01,0.00E+00,5.50E-01,0.00E+00,0.00E+00,1.80E-01,0.00E+00,8.20E-01,2.72E+02,1.75E+00,"Sekolah online masih terus berlanjut, Mendikbud pastikan bantuan kuota akan tetap berlanjut di 2021"
Tirto.id,Portal Berita,https://www.facebook.com/Portal Berita/posts/2872137619778335,"Pelaksanaan kebijakan pendidikan covid tahun 2020(UN 2020 ditiadakan,proses belajar di rumah,ujian sekolah sebagai pengganti kelulusan,dana BOS)",2020-10-27 05:01:10 EDT,Photo,9.00E+01,6.00E+00,7.00E+00,0.00E+00,0.00E+00,3.00E+00,2.00E+00,0.00E+00,0.00E+00,5.00E+00,0.00E+00,0.00E+00,6.00E-01,4.00E-01,0.00E+00,0.00E+00,0.00E+00,6.00E-01,1.00E+00,3.42E+02,1.39E+00,KEBIJAKAN BARU KEMENDIKBUD Setelah meluncurkan Merdeka Belajar Episode 2: Kampus Merdeka/ Menteri Pendidikan dan Kebudayaan/ Nadiem Makarim meluncurkan episode terbaru kebijakan pendidikan Merdeka Belajar
Portal Berita,Portal Berita,https://www.facebook.com/284251334961090/posts/4091257030927149,UN 2021 ditiadakan,2021-02-04 22:37:53 EST,Photo,6.82E+02,3.20E+02,1.78E+02,7.00E+00,1.00E+01,3.20E+01,1.40E+01,3.00E+00,0.00E+00,6.60E+01,1.10E-01,1.50E-01,4.80E-01,2.10E-01,5.00E-02,0.00E+00,1.10E-01,5.30E-01,5.30E-01,1.25E+00,5.18E+00,Presiden Joko Widodo memutuskan meniadakan ujian nasional ( UN) untuk tahun 2020. Hal itu disampaikan Juru Bicara Presiden Fadjroel Rachman | #Nasional
Portal Berita.com,Portal Berita,https://www.facebook.com/357595679961/posts/10159225993594962,UN 2021 ditiadakan,2021-02-04 01:18:15 EST,Photo,1.70E+01,5.00E+00,5.00E+00,0.00E+00,0.00E+00,3.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.00E+00,3.00E+01,-2.70E+00,"Gimana nih adik-adik happy atau sedih? . Pelaksanaan Ujian Nasional 2021 ditiadakan. Hal ini disampaikan Mendikbud Nadiem Anwar Makarim dalam surat edarannya. Surat edaran peniadaan UN 2021 derikut dengan petunjuk ujian, kelulusan hingga ketentuan penerimaan peserta didik baru (PPDB) Surat Edaran Mendikbud No 1/2021 tentang Peniadaan Ujian Nasional dan Ujian Kesetaraan serta Pelaksanaan Ujian Sekolah dalam Masa Darurat Penyebaran Covid-19 tertanggal 1 Februari 2021. . Surat tersebut menulis, berkenaan dengan penyebaran Covid-19 yang semakin meningkat maka perlu dilakukan langkah responsif yang mengutamakan keselamatan dan kesehatan lahir dan batin peserta didik, pendidik dan tenaga kependidikan. Sehubungan dengan hal tersebut, bersama ini disampaikan bahwa : 1. UN dan ujian kesetaraan tahun 2021 ditiadakan. 2. Dengan ditiadakannya UN dan ujian kesetaraan tahun 2021, maka UN dan ujian kesetaraan tidak menjadi syarat kelulusan atau seleksi masuk ke jenjang pendidikan yang lebih tinggi. 3. Peserta didik dinyatakan lulus dari satuan/program pendidikan setelah : a). Menyelesaikan program pembelajaran di masa pandemi Covid-19 yang dibuktikan dengan rapor tiap semester. b). Memperoleh nilai sikap/perilaku minimal baik c). mengikuti ujian yang diselenggarakan oleh satuan pendidikan. Klik Link di Bio untuk baca berita okezone.com selengkapnya #LengkapCepatBeritanya #BacaOkezonediRumahAja #Okezonecom"
Kompas.com,Portal Berita,https://www.facebook.com/17353926534/posts/10159385967411535,Belajar daring,2020-10-27 20:57:03 EDT,Photo,5.50E+01,5.70E+01,5.00E+00,0.00E+00,4.00E+00,5.00E+00,0.00E+00,0.00E+00,0.00E+00,9.00E+00,0.00E+00,4.40E-01,5.60E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.60E-01,5.60E-01,1.26E+02,-1.74E+00,"Presiden Joko Widodo atau Jokowi memutuskan untuk meniadakan pelaksanaan Ujian Nasional (UN) 2020. Keputusan itu diambil Jokowi untuk mencegah penyebaran virus Corona (Covid-19). Setelah Ujian Nasional 2021 ditiadakan, bagaimana syarat atau penentuan kelulusan? Simak dalam Infografis berikut ini. Baca berita selengkapnya di www.liputan6.com:=:https://www.liputan6.com/ Grafis : ( Liputan6.com/ Trieyasni) #InfoGrafis #UN #PenghapusanUN #UjianNasional #Pelajar #Indonesia #COVID19 #VirusCorona #CoronaVirus #liputan6dotcom #Lip6EMS"
Portal Berita,Portal Berita,https://www.facebook.com/374777242078/posts/10160210497472079,UN 2021 ditadakan,2021-02-04 21:03:04 EST,Photo,2.36E+02,8.10E+01,5.90E+01,1.00E+00,0.00E+00,2.00E+00,1.00E+00,0.00E+00,0.00E+00,4.00E+00,2.50E-01,0.00E+00,5.00E-01,2.50E-01,0.00E+00,0.00E+00,2.50E-01,5.00E-01,5.00E-01,3.80E+02,2.51E+00,"Palembang Tutup Sekolah, Belajar Daring Lanjut hingga Akhir Tahun 2020"
Portal Berita,Portal Berita,https://www.facebook.com/374777242078/posts/10160213344847079,UN 2021 ditadakan,2021-02-05 15:51:43 EST,Photo,1.79E+02,9.00E+00,3.20E+01,0.00E+00,2.00E+00,5.00E+00,0.00E+00,1.00E+00,0.00E+00,8.00E+00,0.00E+00,2.50E-01,6.30E-01,0.00E+00,1.30E-01,0.00E+00,0.00E+00,7.50E-01,7.50E-01,2.28E+02,1.47E+00,#Terpopuler Pemerintah memutuskan UN 2021 ditiadakan. Bagaimana penentuan lulus setelah UN 2021 ditiadakan? #UN #UN2021
Portal Berita,Portal Berita,https://www.facebook.com/Portal Berita/posts/10160141077937079,"Pembelajaran tatap muka untuk, zona hijau",2021-01-20 02:04:35 EST,Link,1.88E+02,6.30E+01,1.30E+01,2.00E+00,0.00E+00,4.00E+00,1.00E+00,1.00E+00,0.00E+00,8.00E+00,2.50E-01,0.00E+00,5.00E-01,1.30E-01,1.30E-01,0.00E+00,2.50E-01,6.30E-01,7.50E-01,3.00E+00,-8.67E+00,"Mendikbud Nadiem Makarim mengatakan, ada 34.200 sekolah sudah menggelar pembelajaran tatap muka dan 186.552 sekolah masih menggelar belajar dari rumah. #Sekolah"
