Page Name,Page category ,Link,Content,Type ,Post Created,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Total Non-Like,Love,Wow,Haha,Sad,Angry,Care,Positive,Neg2,Neg,Total Interactions,Overperforming Score,Message
Liputan6,Portal Berita,https://www.facebook.com/Portal Berita/posts/10158615207886435,UN 2020 ditiadakan,Photo,2020-03-28 07:00:26 EDT,239,13,6,1,0,0,0,0,0,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.28E+02,-1.95E+00,Pemerintah memutuskan meniadakan UN 2020 karena pandemi COVID-19. Berikut aturan Penerimaan Peserta Didik Baru atau PPDB 2020.
BBC News Indonesia,Portal Berita,https://www.facebook.com/10150118096995434/posts/10163532902055434,UN 2020 ditiadakan,Photo,2020-03-24 02:17:28 EDT,1277,39,588,59,19,5,4,0,0,8.70E+01,6.80E-01,2.20E-01,6.00E-02,5.00E-02,0.00E+00,0.00E+00,6.80E-01,6.00E-02,6.00E-02,1.99E+00,2.99E+00,"Resmi, Ujian Nasional Ditiadakan Surat Edaran Mendikbud Nomor 4 Tahun 2020"
Kompas.com,Portal Berita,https://www.facebook.com/Portal Berita/posts/10158665946276535,UN 2020 ditiadakan,Photo,2020-03-24 02:33:06 EDT,542,20,451,8,1,0,3,0,0,1.20E+01,6.70E-01,8.00E-02,0.00E+00,2.50E-01,0.00E+00,0.00E+00,6.70E-01,0.00E+00,3.30E-01,2.54E+02,1.15E+00,Ditiadakan untuk tingkat SD hingga SMA.
Portal Berita.com,Portal Berita,https://www.facebook.com/357595679961/posts/10158263919579962,UN 2020 ditiadakan,Photo,2020-03-23 22:11:07 EDT,692,18,859,9,8,0,0,0,0,1.70E+01,5.30E-01,4.70E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.30E-01,0.00E+00,0.00E+00,1.59E+00,1.19E+01,Pemerintah telah memutuskan meniadakan Ujian Nasional 2020 karena pandemi virus corona.
kumparan,Portal Berita,https://www.facebook.com/1924315711129121/posts/3048881008672580,UN 2020 ditiadakan,Photo,2020-03-24 01:40:05 EDT,578,29,494,10,24,4,6,0,0,4.40E+01,2.30E-01,5.50E-01,9.00E-02,1.40E-01,0.00E+00,0.00E+00,2.30E-01,9.00E-02,9.00E-02,1.15E+00,2.64E+01,Presiden Joko Widodo memutuskan meniadakan ujian nasional ( UN) untuk tahun 2020. Hal itu disampaikan Juru Bicara Presiden Fadjroel Rachman | #Nasional
Liputan6,Portal Berita,https://www.facebook.com/36786411434/posts/10158611452591435,UN 2020 ditiadakan,Photo,2020-03-27 01:15:50 EDT,358,22,2,2,3,0,6,0,0,1.10E+01,1.80E-01,2.70E-01,0.00E+00,5.50E-01,0.00E+00,0.00E+00,1.80E-01,0.00E+00,0.00E+00,3.93E+02,3.15E+00,"Mendikbud Nadiem Makarim mengatakan, ada 34.200 sekolah sudah menggelar pembelajaran tatap muka dan 186.552 sekolah masih menggelar belajar dari rumah. #Sekolah"
Liputan6,Portal Berita,https://www.facebook.com/36786411434/posts/10158615207886435,UN 2020 ditiadakan,Link,2020-03-28 07:00:26 EDT,239,13,6,1,0,0,0,0,0,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,2.59E+02,1.91E+00,"Berita empat penentu kenaikan kelas, kuota gratis Kemendikbud dilanjutkan, dan syarat kelulusan pengganti UN 2020 menjadi terpopuler di edukasi."
Kompas.com,Portal Berita,https://www.facebook.com/Portal Berita/posts/10158665921161535,UN 2020 ditiadakan,Link,2020-03-24 06:27:51 EDT,316,10,228,7,2,0,0,0,0,9.00E+00,7.80E-01,2.20E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.80E-01,0.00E+00,2.20E-01,2.70E+02,1.11E+00,"Sebelumnya, Dimas Ibnu Alias terpaksa belajar sendirian di kelas karena tak punya ponsel untuk belajar online."
Kompas.com,Portal Berita,https://www.facebook.com/17353926534/posts/10158665921161535,UN 2020 ditiadakan,Link,2020-03-24 06:27:51 EDT,316,10,228,7,2,0,0,0,0,9.00E+00,7.80E-01,2.20E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.80E-01,0.00E+00,0.00E+00,5.63E+02,6.44E+00,"WALAUPUN TAHUN AJARAN BARU MULAI BULAN DEPAN, TAPI BELUM KE SEKOLAH. INI PRAKIRAAN JADWAL TERBARU. Kabar baik buat orangtua, jadwal masuk sekolah ditunda hingga awal 2021, masih belajar online."
BBC News Indonesia,Portal Berita,https://www.facebook.com/Portal Berita/posts/10163532902055434,UN 2020 ditiadakan,Link,2020-03-24 02:17:28 EDT,1277,39,588,59,19,5,4,0,0,8.70E+01,6.80E-01,2.20E-01,6.00E-02,5.00E-02,0.00E+00,0.00E+00,6.80E-01,6.00E-02,3.20E-01,2.59E+02,-1.16E+00,Pemerintah memutuskan UN 2020 ditiadakan. Bagaimana penentuan lulus setelah UN 2020 ditiadakan? #UN #UN2021
