Page Name,Page category,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Total Non-Like,Love,Care,Wow,Haha,Sad,Angry,Neg1,Neg2,Negative,Positive,Total Interactions,Overperforming Score,Type,Link,Content,Message,Post Created
Detik.com,Portal Berita,236,81,59,1,0,2,1,0,0,4,2.50E-01,0.00E+00,0.00E+00,5.00E-01,2.50E-01,0.00E+00,2.50E-01,5.00E-01,7.50E-01,2.50E-01,2.58E+00,1.21E+01,Link,https://www.facebook.com/374777242078/posts/10160210497472079,UN 2021 ditiadakan,#Terpopuler Pemerintah memutuskan UN 2021 ditiadakan. Bagaimana penentuan lulus setelah UN 2021 ditiadakan? #UN #UN2021,2021-02-05 21:03:04 EST
Kompas.com,Portal Berita,51,0,3,2,0,2,0,0,0,4,5.00E-01,0.00E+00,0.00E+00,5.00E-01,0.00E+00,0.00E+00,0.00E+00,5.00E-01,5.00E-01,5.00E-01,1.77E+00,-4.56E+01,Link,https://www.facebook.com/17353926534/posts/10159677598311535,UN 2021 ditiadakan,"SE itu ditandatangani oleh Mendikbud Nadiem Makarim pada 1 Februari 2021. Pembuatan SE itu ditujukan kepada gubernur, bupati, dan wali kota.",2021-02-04 22:08:03 EST
Kementerian Pendidikan dan Kebudayaan RI,Official Page,766,209,234,12,0,2,2,0,3,19,6.30E-01,1.60E-01,0.00E+00,1.10E-01,1.10E-01,0.00E+00,1.10E-01,1.10E-01,2.20E-01,7.90E-01,3.28E+00,-1.45E+01,Photo,https://www.facebook.com/119573194818796/posts/2719274504848639,UN 2020 ditiadakan,"#SahabatDikbud, menurut Surat Edaran nomor 4 tahun 2020 tentang Pelaksanaan Kebijakan Pendidikan dalam Masa Darurat Penyebaran Corona Virus Disease (Covid-19), terdapat empat kebijakan yang #SahabatDikbud perlu ketahui. 
Keempat kebijakan tersebut yaitu mengenai Ujian Nasional (UN), Ujian Sekolah (US), Belajar dari Rumah dan Penerimaan Peserta Didik Baru (PPDB).
Yuk, #SahabatDikbud simak informasi selengkapnya pada gambar! 😊👍
#MerdekaBelajar #RabuMaju #CerdasBerliterasi #CerdasBerbudaya #CerdasBerkarakter",2020-11-17 21:00:00 EST
Kementerian Pendidikan dan Kebudayaan RI,Official Page,440,11,66,6,1,0,0,0,0,7,8.60E-01,0.00E+00,1.40E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.40E-01,1.40E-01,8.60E-01,2.69E+00,-6.51E+01,Photo,https://www.facebook.com/119573194818796/posts/2716928428416580,UN 2020 ditiadakan,"#SahabatDikbud, yuk simak pengumuman sementara mengenai pelaksanaan Ujian Nasional (UN) tahun pelajaran 2019/2020. Pengumuman secara detail akan diumumkan selanjutnya. Simak informasi resmi mengenai UN 2020 pada kanal resmi Kemendikbud, ya! #MerdekaBelajar #UN2020",2020-05-30 00:00:01 EDT
Kompas.com,Portal Berita,239,13,6,1,0,0,0,0,0,1,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,2.11E+00,1.80E+01,Link,https://www.facebook.com/17353926534/posts/10158665847681535,UN 2020 ditiadakan,Ujian nasional (UN) tahun 2020 resmi dibatalkan mengingat wabah corona di Indonesia - #BreakingNews #Edukasi,2020-03-28 07:00:26 EDT
Kompas.com,Portal Berita,542,20,451,8,1,0,3,0,0,12,6.70E-01,0.00E+00,8.00E-02,0.00E+00,2.50E-01,0.00E+00,2.50E-01,8.00E-02,3.30E-01,6.70E-01,3.07E-01,-4.46E+01,Link,https://www.facebook.com/17353926534/posts/10158665946276535,UN 2020 ditiadakan,Presiden Joko Widodo memutuskan meniadakan ujian nasional ( UN) untuk tahun 2020. Hal itu disampaikan Juru Bicara Presiden Fadjroel Rachman | #Nasional,2020-03-24 02:33:06 EDT
Kementerian Komunikasi dan Informatika RI,Official Page,482,7,29,3,0,0,0,1,2,6,5.00E-01,3.30E-01,0.00E+00,0.00E+00,0.00E+00,1.70E-01,1.70E-01,0.00E+00,1.70E-01,8.30E-01,2.29E+00,6.90E+00,Photo,https://www.facebook.com/119573194818796/posts/3058099730966113,"Pembelajaran tatap muka untuk, zona hijau","#SahabatDikbud, salah satu pertimbangan diperbolehkannya pembelajaran tatap muka diperluas hingga zona kuning adalah banyaknya satuan pendidikan di daerah 3T (terdepan, terluar, dan tertinggal) sangat kesulitan untuk melaksanakan Pembelajaran Jarak Jauh (PJJ) karena minimnya akses.Hal ini dapat berdampak negatif terhadap tumbuh kembang dan psikososial anak secara permanen. Saat ini, 88% dari keseluruhan daerah 3T berada di zona kuning dan hijau. Dengan adanya penyesuaian Surat Keputusan Bersama (SKB) Empat Menteri, maka satuan pendidikan yang siap dan ingin melaksanakan pembelajaran tatap muka memiliki opsi untuk melaksanakannya secara bertahap dengan protokol kesehatan yang ketat.Walaupun berada di zona hijau dan kuning, satuan pendidikan tidak dapat melakukan pembelajaran tatap muka tanpa adanya persetujuan (1) Pemda/kanwil, (2) kepala sekolah (setelah sekolah dapat memenuhi protokol kesehatan yang ketat), dan (3) adanya persetujuan komite sekolah.Kemudian walaupun sekolah sudah melakukan pembelajaran tatap muka, persyaratan terakhir adalah adanya persetujuan dari orang tua peserta didik. Jika orang tua tidak setuju maka peserta didik tetap belajar dari rumah dan tidak dapat dipaksa.#MerdekaBelajar #BersamaHadapiKorona #BelajardariRumah #SeruBelajarKebiasaanBaru",2020-11-26 00:19:00 EST
Kementerian Pendidikan dan Kebudayaan RI,Official Page,655,87,199,13,0,0,1,0,0,14,9.30E-01,0.00E+00,0.00E+00,0.00E+00,7.00E-02,0.00E+00,7.00E-02,0.00E+00,7.00E-02,9.30E-01,6.99E-01,-2.89E+00,Photo,https://www.facebook.com/119573194818796/posts/2939201166189304,"Pembelajaran tatap muka untuk, zona hijau","#SahabatDikbud, tahun akademik baru 2020/2021 akan segera dimulai pada Agustus 2020 dengan tetap memprioritaskan kesehatan dan keselamatan semua warga satuan Pendidikan tinggi. Untuk daerah yang berada di zona kuning, oranye, dan merah sistem pembelajaran tetap dilanjutkan dengan belajar dari rumah sedangkan untuk zona hijau boleh dilakukan pembelajaran tatap muka dengan tetap mengikuti protokol kesehatan dan persyaratan-persyaratan yang telah ditetapkan.“Kita tidak boleh kalah (dengan COVID-19). Upayakan pembelajaran yang aman dan memastikan kesehatan untuk kita semua. Konsentrasi kita utama pada kesehatan dan keselamatan siswa, orang tua dan penyelenggara,” demikian disampaikan Pelaksana Tugas (Plt.) Direktur Jenderal Pendidikan Tinggi Kementerian Pendidikan dan Kebudayaan (Kemendikbud) Nizam, pada acara temu media Bincang Sore secara virtual di Jakarta, pada Rabu (24/6/2020).Baca selengkapnya di https://www.kemdikbud.go.id/.../pembelajaran-pendidikan...#MerdekaBelajar #BersamaHadapiKorona",2020-08-08 02:17:00 EDT
Kementerian Pendidikan dan Kebudayaan RI,Official Page,319,108,51,4,1,1,1,0,1,8,5.00E-01,1.30E-01,1.30E-01,1.30E-01,1.30E-01,0.00E+00,1.30E-01,2.60E-01,3.90E-01,6.30E-01,2.98E+00,4.80E+01,Photo,https://www.facebook.com/119573194818796/posts/3625043094271771,Kouta internet gratis,"#SahabatDikbud, kebijakan bantuan kuota data internet tahun 2020 mendapatkan tanggapan sangat positif dari masyarakat. Tahun ini Kemendikbud kembali melanjutkan kebijakan tersebut. Kuota data internet diberikan selama tiga bulan, sejak Maret 2021.Peserta didik PAUD mendapat 7 GB/bulan, peserta didik jenjang pendidikan dasar dan menengah mendapatkan 10GB/bulan, dan pendidik PAUD dan jenjang pendidikan dasar dan menengah mendapatkan 12 GB/bulan, mahasiswa dan dosen mendapat 15 GB/bulan. Bantuan akan disalurkan pada tanggal 11-15 setiap bulan dan berlaku selama 30 hari sejak diterima.Bantuan kuota data internet tahun 2021 merupakan kuota umum yang dapat digunakan untuk mengakses semua laman dan aplikasi kecuali yang diblokir oleh Kementerian Komunikasi dan Informatika RI serta daftar pengecualian yang tercantum pada situs resmi bantuan kuota data internet Kemendikbud: http://kuota-belajar.kemdikbud.go.id.#SahabatDikbud juga dapat membaca selengkapnya pada gambar atau pada laman https://www.kemdikbud.go.id/.../mendapat-respons-positif....#MerdekaBelajar #BersamaHadapiKorona",2020-09-11 23:30:57 EDT
Kementerian Pendidikan dan Kebudayaan RI,Official Page,223,95,15,5,0,3,0,0,1,9,5.60E-01,1.10E-01,0.00E+00,3.30E-01,0.00E+00,0.00E+00,0.00E+00,3.30E-01,3.30E-01,6.70E-01,3.05E+00,-1.55E+01,Photo,https://www.facebook.com/119573194818796/posts/3114942001948552,Kouta internet gratis,"#SahabatDikbud, Mendikbud Nadiem Makarim @nadiemmakarim hadir dalam rapat kerja DPR RI Komisi X di Jakarta pada Kamis (27/08/2020).Raker tersebut memiliki tiga agenda, yaitu penyesuaian kebijakan pendidikan, inisiatif, dan solusi di masa pandemi Covid-19; subsidi kuota internet dan peningkatan jumlah penerima tunjangan profesi; dan laporan keuangan Kemendikbud tahun 2019.Baca selengkapnya di https://www.kemdikbud.go.id/.../komisi-x-dpr-ri-apresiasi...Sumber foto : @tasori123#MerdekaBelajar #RakerDPRRI #RakerKemendikbud",2020-10-16 09:52:14 EDT
