Page Name,Page category,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Total Non-Like,Love_1,Care_2,Wow_3,Haha_4,Sad_5,Angry_6,Slightly Negative Avg,Weighted Sligtly negative,Slightly Negative Percentage,Mostly Negative Percentage,Mostly negative average,Weighted mostly Negative,Negative,Positive percentage,Positive AVG,Positive,Sentiment Index,Total Interactions,Overperforming Score,Type,Link,Content,Message,Post Created
detik.com,Portal Berita,9491,681,2218,138,216,29,63,9,27,482,13800%,2700%,21600%,2900%,6300%,900%,122.5,183.75,27900%,10100%,1900%,42.75,231.25,16500.00%,8250%,206.25,0.81,77.8,2980,Link,https://www.facebook.com/374777242078/posts/10159044132267079,UN 2020 ditiadakan,Kemendikbud resmi menghapus ujian nasional (UN) 2020 akibat pendemi Corona (COVID-19). Kemendikbud telah mengatur mekanisme kelulusan siswa.,2020-03-24 09:37:40 EDT
Tribun Timur Berita Online Makassar,Portal Berita,8181,662,2194,137,215,29,63,9,27,480,13700%,2700%,21500%,2900%,6300%,900%,122,183,27800%,10100%,1900%,42.75,230.5,16400.00%,8200%,205,0.81,110,2240,Photo,https://www.facebook.com/39933559610/posts/10157603602894611,Belajar di rumah,"WALAUPUN TAHUN AJARAN BARU MULAI BULAN DEPAN, TAPI BELUM KE SEKOLAH. INI PRAKIRAAN JADWAL TERBARU.Kabar baik buat orangtua, jadwal masuk sekolah ditunda hingga awal 2021, masih belajar online.",2020-06-03 09:37:40 EDT
Kompas.com,Portal Berita,7367,475,6514,150,92,25,22,0,0,289,15000%,0%,9200%,2500%,2200%,0%,58.5,87.75,11400%,4700%,1250%,28.125,119,15000.00%,7500%,187.5,1.02,119,3050,Link,https://www.facebook.com/17353926534/posts/10158665856891535,UN 2020 ditiadakan,UN 2020 Ditiadakan untuk tingkat SD hingga SMA.,2020-03-24 01:49:03 EDT
detik.com,Portal Berita,7367,475,6514,150,92,25,22,0,0,289,15000%,0%,9200%,2500%,2200%,0%,58.5,87.75,11400%,4700%,1250%,28.125,119,15000.00%,7500%,187.5,1.02,222,7170,Photo,https://www.facebook.com/BBCNewsIndonesia/posts/10163532902055434,UN 2020 ditiadakan,Mendikbud Nadiem Makarim menyebut peniadaan Ujian Nasional 2020 karena faktor risiko kesehatan yang besar di tengah wabah COVID-19. Nadiem menyebut sekolah masih bisa menggelar Ujian Sekolah (US). #UN #UNBK,2020-03-24 01:49:03 EDT
Kompas.com,Portal Berita,4409,359,194,77,7,8,39,1,33,165,7700%,3300%,700%,800%,3900%,100%,7.5,11.25,4600%,4800%,450%,10.125,22.5,11000.00%,5500%,137.5,1.25,78.7,475,Link,https://www.facebook.com/17353926534/posts/10159124583696535,Belajar di rumah,"Sebelumnya, Dimas Ibnu Alias terpaksa belajar sendirian di kelas karena tak punya ponsel untuk belajar online.",2020-07-24 11:36:03 EDT
Kementerian Pendidikan dan Kebudayaan RI,Official Page,3560,231,4115,101,12,1,9,2,0,125,10100%,0%,1200%,100%,900%,200%,6.5,9.75,2100%,1200%,150%,3.375,13.5,10100.00%,5050%,126.25,1.51,239,4750,Photo,https://www.facebook.com/119573194818796/posts/3060750237367729,"Pembelajaran tatap muka untuk, zona hijau","#SahabatDikbud, sudah tahu mengenai penyesuaian kebijakan pembelajaran di masa pandemi Covid-19?Dalam perubahan Surat Keputusan Bersama (SKB) Empat Menteri, izin pembelajaran tatap muka diperluas ke zona kuning, dari sebelumnya hanya di zona hijau.Pada saat sekolah melakukan pembelajaran tatap muka, kondisi protokol kesehatan sangat ketat. Masing-masing rombongan belajar (rombel) hanya diperbolehkan maksimal 50% dari kapasitas. Berarti sekolah harus melakukan rotasi/shifting saat siswa mengikuti pembelajaran tatap muka.Yuk, simak informasi selengkapnya pada infografis berikut atau unduh pada laman kemdikbud.go.id!#MerdekaBelajar #BersamaHadapiKorona#BelajardariRumah #SeruBelajarKebiasaanBaru#BangkituntuklndonesiaMaju",2020-08-09 06:00:22 EDT
Kompas.com,Portal Berita,2897,119,3892,117,2,1,3,0,0,123,11700%,0%,200%,100%,300%,0%,1.5,2.25,500%,400%,50%,1.125,3.5,11700.00%,5850%,146.25,1.86,301,1150,Native Video,https://www.facebook.com/177732508945656/posts/3145084525543758,UN 2020 ditiadakan,"Menteri Pendidikan dan Kebudayaan (Mendikbud) resmi membatalkan Ujian Nasional (UN) untuk tingkat SD, SMP, dan SMA.Baca selengkapnya di https://www.kompas.tv/.../sah-ujian-nasional-2020-resmi...",2020-03-24 23:16:54 EDT
Kementerian Pendidikan dan Kebudayaan RI,Official Page,2363,68,371,10,1,0,1,1,1,14,1000%,100%,100%,0%,100%,100%,0.5,0.75,200%,200%,50%,1.125,2,1100.00%,550%,13.75,1.48,246,-1770,Native Video,https://www.facebook.com/119573194818796/posts/2974233542686066,"Pembelajaran tatap muka untuk, zona hijau","Seru Belajar Kebiasaan BaruBagi #SahabatDikbud yang berada di zona hijau, apakah sekolah kamu sudah siap menyelenggarakan pembelajaran dengan aturan kebiasaan baru? Yuk, simak video berikut! #SeruBelajarKebiasaanBaru #SelamatKembaliKeSekolah #MerdekaBelajar",2020-08-07 22:33:05 EDT
Kementerian Pendidikan dan Kebudayaan RI,Official Page,2159,140,1634,61,4,0,2,0,0,67,6100%,0%,400%,0%,200%,0%,2,3,600%,200%,0%,0,3,6100.00%,3050%,76.25,1.75,290,-715,Photo,https://www.facebook.com/119573194818796/posts/3366026590173424,"pembelajaran tatap muka untuk, zona hijau","#SahabatDikbud, pemerintah mengumumkan Surat Keputusan Bersama (SKB) Mendikbud, Menteri Kemenag RI, Menteri Kemenkes RI, dan Menteri Kemendagri_RI tentang Panduan Penyelenggaraan Pembelajaran pada Semester Genap Tahun Ajaran & Tahun Akademik 2020/2021 di Masa Pandemi Covid-19.Penyesuaian kebijakan dilakukan untuk memberikan penguatan peran pemda/kanwil/kantor Kemenag RI sebagai pihak yang paling mengetahui dan memahami kondisi, kebutuhan, dan kapasitas daerahnya. Kebijakan berlaku mulai bulan Januari 2021.#SahabatDikbud, pemberian izin pembelajoran tatap muka dapat dilakukan secara serentak dalam satu wilayah kabupaten/kota atau bertahap per wilayah kecamatan/desa/kelurahan dengan faktor-faktor pertimbangan dan dukungan seluruh pemangku kepentingan.Yuk, simak informasinya pada infografik berikut!#MerdekaBelajar #PanduanPembelajaran",2020-03-25 06:00:53 EDT
Kementerian Pendidikan dan Kebudayaan RI,Official Page,2144,31,1747,46,0,1,1,0,7,55,4600%,700%,0%,100%,100%,0%,0.5,0.75,100%,200%,50%,1.125,2,5300.00%,2650%,66.25,1.88,214,171,Native Video,https://www.facebook.com/119573194818796/posts/2974233542686066,"Pembelajaran tatap muka untuk, zona hijau","Seru Belajar Kebiasaan BaruBagi #SahabatDikbud yang berada di zona hijau, apakah sekolah kamu sudah siap menyelenggarakan pembelajaran dengan aturan kebiasaan baru? Yuk, simak video berikut! #SeruBelajarKebiasaanBaru #SelamatKembaliKeSekolah #MerdekaBelajar",2020-07-09 02:28:38 EDT
